"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level.of.water.stress..freshwater.withdrawal.as.a.proportion.of.available.freshwater.resources","People.practicing.open.defecation....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","People.using.at.least.basic.sanitation.services....of.population.","People.using.safely.managed.drinking.water.services....of.population.","People.using.safely.managed.sanitation.services....of.population.","Population.density..people.per.sq..km.of.land.area.","Population..total","Water.productivity..total..constant.2015.US..GDP.per.cubic.meter.of.total.freshwater.withdrawal.","People.with.basic.handwashing.facilities.including.soap.and.water....of.population.","logDiarrheaRate","logTyphoidRate","logHepatitisRate","logUnsafeRisk","Data_Type"
"European Region","2005",0,6.19,0.31,0.13,31.5837778392174,0.0892033784081633,96.2464351548,95.5063528746939,85.7377391930612,73.5772298106818,448.109038799196,16612838.6509434,98.4349330888511,86.29812671,1.8229350866965,-6.90775527898214,-1.17118298150295,-2.04022082852655,"Historical"
"European Region","2006",0,6.28,0.31,0.13,31.1017769374348,0.0832548104693877,96.3826895134,95.6321639312245,86.2883660306122,73.9947951934091,447.339332112549,16663259.0754717,105.520298374936,86.92841757,1.83736998048011,-6.90775527898214,-1.17118298150295,-2.04022082852655,"Historical"
"European Region","2007",0,6.37,0.31,0.13,30.5255290740217,0.0773643629387755,96.5186509398,95.7565802002041,86.8395602332653,74.4118850793182,446.182186205686,16711537.3867925,117.870561152191,87.56089698,1.85159946958407,-6.90775527898214,-1.17118298150295,-2.04022082852655,"Historical"
"European Region","2008",0,6.46,0.31,0.12,30.8319598808261,0.0715330259591837,96.6542967186,95.8807485902041,87.3865168469388,74.8441503309091,447.072214861961,16780157.4716981,117.753286319426,88.19595698,1.86562931779451,-6.90775527898214,-1.17118298150295,-2.12026353620009,"Historical"
"European Region","2009",0,6.53,0.31,0.12,30.1855173487174,0.0657625695714286,96.7896577752,96.005533455102,87.9311740565306,75.3437833193182,453.393113543431,16848534.0754717,113.466676824468,88.83322921,1.87640694328834,-6.90775527898214,-1.17118298150295,-2.12026353620009,"Historical"
"European Region","2010",0,6.57,0.31,0.12,30.177064768413,0.0601757036326531,96.9203823788,96.1298272761225,88.4927824444898,75.8541707065909,461.645203074118,16910996.0566038,114.219481557532,89.47290193,1.88251383249652,-6.90775527898214,-1.17118298150295,-2.12026353620009,"Historical"
"European Region","2011",0,6.54,0.31,0.11,30.0049317657391,0.0546551015306122,97.0507810944,96.2540460542857,89.0204886840816,76.3882910965909,469.433827108176,16949708.7264151,118.437571662596,90.1149814,1.87793716546911,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2012",0,6.46,0.31,0.11,29.9842098797609,0.049198614244898,97.179404803,96.3784609997959,89.4749081487755,76.9368719497727,477.793683300039,17018758.8301887,122.172646921298,90.75945374,1.86562931779451,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2013",0,6.32,0.31,0.11,29.4397000453261,0.0438041334693878,97.3094419888,96.5027811163265,89.8964461822449,77.5313091586364,485.588537053098,17099634.8113208,128.08943067434,91.40914803,1.84371920815877,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2014",0,6.15,0.31,0.11,29.2562677212391,0.0384698123265306,97.432165702,96.6270296016327,90.28791455,78.1330096731818,493.078738266255,17183779.8396226,133.349316685702,92.06318714,1.81645208181843,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2015",0,5.97,0.31,0.11,29.1943231343261,0.0335631535510204,97.567890197,96.763132537551,90.576048217551,78.7503157763636,500.395434458608,17265530.1981132,140.750921423319,92.72079766,1.78674692740451,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2016",0,5.65,0.31,0.11,29.084614308587,0.0289920404285714,97.6912472216,96.8952054691837,90.8431160067347,79.2689853461364,506.679777498588,17346722.1415094,145.527780394234,93.3810039,1.73165554515835,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2017",0,5.19,0.31,0.11,29.7541295678478,0.0246727255918367,97.812186117,97.0152988318367,91.0820538344898,79.7469935511364,512.187560047706,17418865.9528302,146.922031781787,94.04294056,1.6467336971778,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2018",0,4.74,0.31,0.11,29.7790599508478,0.0206601246326531,97.930641809,97.1182763877551,91.2864250540816,80.1704895311364,518.574617774961,17488298.5188679,147.630634957702,94.39591691,1.55603713570699,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2019",0,4.46,0.31,0.11,29.3634587918913,0.0188933984285714,98.0360589076,97.2061747865306,91.437326252449,80.4419260672727,519.951351907647,17549986.3396226,155.702594526532,94.40049873,1.49514876603197,-6.90775527898214,-1.17118298150295,-2.20727491318972,"Historical"
"European Region","2020",0,4.1,0.29,0.09,29.1645244350652,0.0181022521428571,98.1192163186,97.2746809171429,91.5568445312245,80.6789562738636,520.602207002843,17596122.9150943,148.649405081149,94.40664487,1.41098697371026,-6.90775527898214,-1.23787435600162,-2.40794560865187,"Historical"
